City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Thinadhoo,MV,81.34,scattered clouds,0.5333,72.9333,
327,Itarema,BR,75.9,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
337,Veraval,IN,82.06,clear sky,20.9,70.3667,Lords Inn Somnath
339,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
343,Noumea,NC,82.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
344,Lahad Datu,MY,80.69,overcast clouds,5.0268,118.327,The 27th House
348,Dubbo,AU,86.13,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
350,Sola,VU,80.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
354,Nsoko,SZ,79.86,clear sky,-27.0333,31.95,
358,Carutapera,BR,75.9,overcast clouds,-1.195,-46.02,Lidera
360,Maragogi,BR,78.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
361,Dovers,VC,77.49,few clouds,12.8833,-61.1833,Ocean Breeze
367,Jodiya,IN,82.08,clear sky,22.6925,70.306,Bahucharaji Hotel
368,Le Port,RE,84.16,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
374,Manjo,CM,80.01,broken clouds,4.8428,9.8217,Hôtel la Grace
380,Dhidhdhoo,MV,81.3,broken clouds,6.8833,73.1,Dhidhoo beach
382,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
384,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
387,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
390,Waingapu,ID,82.65,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
396,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
406,Benguela,AO,79.07,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
410,Lafiagi,NG,80.91,scattered clouds,8.8667,5.4167,Bus group international
412,Byron Bay,AU,83.05,clear sky,-28.65,153.6167,Backpackers Inn
413,Nsanje,MW,85.33,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
423,Sungairaya,ID,78.51,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
426,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
442,Harper,LR,80.65,light rain,4.375,-7.7169,Screensaver
447,Imbituba,BR,75.81,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
451,Merauke,ID,83.97,overcast clouds,-8.4667,140.3333,
453,Akyab,MM,80.13,clear sky,20.15,92.9,Hotel Memory
456,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
459,Bolitoc,PH,84.96,overcast clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
461,Tiarei,PF,82.42,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
463,Doka,SD,84.85,clear sky,13.5167,35.7667,
470,The Valley,AI,77.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
473,Anloga,GH,80.82,clear sky,5.7947,0.8973,Pin Drop Hotel
475,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
487,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
490,Vanimo,PG,79.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
491,Port Macquarie,AU,75.16,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
501,Neiafu,TO,82.83,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
502,Edd,ER,85.41,few clouds,13.9297,41.6925,
503,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
508,Mbanza-Ngungu,CD,75.22,broken clouds,-5.25,14.8667,Hotel Full Business
509,Mangai,CD,80.56,overcast clouds,-4.05,19.5333,
524,Puerto Colombia,CO,78.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
525,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
530,Nizwa,OM,75.0,clear sky,22.9333,57.5333,Orient Apartments
531,Jibuti,DJ,76.42,few clouds,11.5,42.5,Orchid Main Camp Goubet
537,Pandan,PH,80.19,broken clouds,14.0453,124.1694,Bonifacio Lodge
540,Kawalu,ID,84.65,overcast clouds,-7.3817,108.2082,West Jontor
542,Ballina,AU,78.98,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
543,Saint-Paul,RE,84.29,broken clouds,-21.0096,55.2707,Boucan Canot
548,Naifaru,MV,81.66,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
551,Tawau,MY,87.93,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
556,Taree,AU,75.13,light rain,-31.9,152.4667,All Seasons Country Lodge Taree
563,Voh,NC,78.31,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
565,Quelimane,MZ,84.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
571,Jam Sahib,PK,75.22,clear sky,26.2958,68.6292,Al Madina
572,Majene,ID,80.65,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
574,Buala,SB,79.74,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
576,Cap Malheureux,MU,84.69,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
